Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
11,YouTube,@workingTchr,https://www.youtube.com/watch?v=hJP5GqnTrNo,"<a href=""https://www.youtube.com/watch?v=hJP5GqnTrNo&amp;t=193"">3:13</a> &quot;It&#39;s able to divine what is probably the misconception in that student&#39;s mind&quot;. I don&#39;t think so.  It&#39;s articulating how the student&#39;s answer is imperfect, which is not the same.  To be an effective tutor, we have to first train AI to understand how people think rather than just how to solve problems.  The great difficulty with this is what will AI have to <i>learn from</i> ?  Unless we find some way to train AI how humans think, (or until AI acquires sentience, and with that, presumably, empathy), I think it&#39;ll be a long way from being the sort of effective tutor that Sal Khan envisions.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",unless find train human think acquires sentience presumably empathy think long sort effective tutor sal khan envisions,0.3300166666666667,Positive
12,YouTube,@ZaneMouakket,https://www.youtube.com/watch?v=hJP5GqnTrNo,"<a href=""https://www.youtube.com/watch?v=hJP5GqnTrNo&amp;t=230"">3:50</a> well in the comments of the code it says it&#39;s a cloud...",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",href code cloud,0.0,Neutral
13,YouTube,@paulinus-b5b,https://www.youtube.com/watch?v=hJP5GqnTrNo,"AI&#39;s potential to personalize learning and provide equitable access is truly revolutionary, especially for those with learning differences or limited resources. Let&#39;s hope Khanmigo can empower students worldwide to reach their full potential. Sal, your vision is inspiring!",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",potential personalize provide equitable access truly revolutionary especially difference limited resource hope khanmigo empower student worldwide reach full potential sal vision inspire,0.45600714285714283,Positive
14,YouTube,@koeigerworthams8658,https://www.youtube.com/watch?v=hJP5GqnTrNo,So this means the Paraeducators and the college tutors jobs will be taken away.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",paraeducators college tutor job away,0.0,Neutral
15,YouTube,@arian1569,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Dear Mr Khan, Ai will definitely be able to help improve Human their abilities to perform activities and also look at having options but it will not be able to improve Human Intellegence(HI) as we do not know how we can use our human brain poterntial and we hardly use 5/10 % of it.  Human beings&#39; design and development Chakras and brain are all linked and human intelligence has to be first enabled.  So , for many it will be improving but it is actually enabling options and helping to think...as  majority ( who has used AI tools) nowadays has stopped thinking and ask Ai stratighway questions",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",dear khan definitely able help improve human ability perform activity option able improve human intellegence use human brain poterntial hardly use human design development chakras brain link human intelligence enable improve enable option help think majority use tool nowadays stop think stratighway question,0.5275708333333333,Positive
16,YouTube,@JCol-o3n,https://www.youtube.com/watch?v=hJP5GqnTrNo,"AI can be helpful in education. It shouldn’t be used to make everyone think alike or create narrow and limited paths to truth. We have never gotten all of our water from the same place. In essence AI gives us all the same water troff, around the world. This could be hazardous if it limits the direction of physics or mathematics. If it creates broad and tighter models, yes even unintentionally perhaps. It could be making very basic decisions for everyone that they will no longer get to decide. We don’t want youths to be filled like vessels by AI, we want them to think the small things out as they grow. This is normal so they know how they got there. It needs to be done individually on an individual road in order to protect the quantum fields of infinity. AI can be a shortcut. Do we want it? Yes, if it helps with math. But we also want children to learn in very unique ways. This process helps students in life. Marita may go home and get a Khan Academy video. Jesi may have his older brother explain it. It’s good to have infinite sources and to not value one over the other because processes render different answers in life.<br><br>The fact so many will choose a computer as teacher does impact society. It can make instruction more accurate, but it also could mean personal teaching won’t be preferred or necessary in 20 years. Is that good? Maybe. How much contact do kids and people want. We already spend so much time on phones not communicating with people. That with AI will increase. Do people want to interact with other people as much? These are the decisions that AI makes for society at a base level. The decisions about advancements and the small details, even in degrees, will lead to a different destination. That’s why thinking about AI impacts are imoortant.<br><br>AI right now is not artificial intelligence. It’s just computers retrieving information in an ordered way to be more helpful to the user. Computers are learning more and more to speak our language fluently and order the information it keeps in its memory. The tasks it can do well are ones that demand accuracy.<br><br>The “AI revolution” is not to be compared to the computer revolution. That was much larger. Quantum computers could be the game changer again. So far the hype about Chat GPT is hype. I can tell when it is being used and the quality of written materials have declined. I can tell when I’m getting a canned response in my email. I ignore the bulk mail. I’ll read the hand written one sent to me. So Id call AI Automatic response based on programmer &amp; info at hand. Is it convenient? Yes. Is it limited and can be wildly inaccurate? Yes.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",helpful education use think alike create narrow limited path truth gotten water place essence water troff around world could hazardous limit direction physic mathematics creates broad tighter model unintentionally could basic decision longer decide youth fill vessel think grow normal individually individual road order protect quantum field infinity shortcut help math child unique process help student life marita may home khan academy jesi may brother explain good infinite source value process render different answer life fact choose computer teacher impact society instruction accurate could personal teach prefer necessary good contact kid already spend time phone communicate increase interact decision society base level decision advancement detail degree lead different destination think impact imoortant artificial intelligence computer retrieve information order helpful user computer speak language fluently order information memory task demand accuracy revolution compare computer revolution large quantum computer could game changer far hype chat gpt hype use quality write material decline response email ignore bulk mail read hand write sent call automatic response base programmer info hand convenient limited wildly inaccurate,0.5019267080745342,Positive
17,YouTube,@afterthesmash,https://www.youtube.com/watch?v=hJP5GqnTrNo,"YouTube summarizes this as &quot;one year ago&quot; until you expand the show notes, where it reveals an upload date of May 2023. It is currently April 2025 and we are talking AI years here. In two more mere weeks, the stupid &quot;ago&quot; date summary that World and Dog now appear to prefer would more appropriately be &quot;almost primordial&quot;.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",youtube summarizes quot ago quot expand show note reveals upload date may currently april talk two mere stupid quot ago quot date summary world dog appear prefer would appropriately quot almost primordial quot,-0.23659999999999998,Negative
18,YouTube,@_ysn,https://www.youtube.com/watch?v=hJP5GqnTrNo,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",,0.0,Neutral
19,YouTube,@FitAngelsAcademy,https://www.youtube.com/watch?v=hJP5GqnTrNo,How can I implement this Chat bot into Moodle LMS?,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",implement chat bot moodle lm,0.0,Neutral
20,YouTube,@jasonscala5834,https://www.youtube.com/watch?v=hJP5GqnTrNo,Lets first create a HUGE problem and then lets mitigate it to some extent. Nice.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",create huge problem mitigate extent nice,0.52115,Positive
21,YouTube,@ninjapirate123,https://www.youtube.com/watch?v=hJP5GqnTrNo,"It depends on how people use it, if they use it to cheat then they won&#39;t learn but if they use it as a tool to help them learn and understand something, they&#39;ll learn faster and easier",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",depends use use cheat use tool help something faster easy,0.40756666666666663,Positive
22,YouTube,@WilliamSteMarie-or4sh,https://www.youtube.com/watch?v=hJP5GqnTrNo,"This is certainly one of the more positive ways to use AI. I see a lot of potential in having AI use the socratic method rather than spitting out answers. However, I have many concerns: If you can just ask a character its motivations or what something symbolizes, where is the act of interpretation? Also, who is to say there is one correct interpretation or that the AI&#39;s one is accurate? Also, a lot of people talk about lesson planning like it&#39;s a chore and not  an important part of a teacher&#39;s imprint/philosophy. I know that for me, lesson planning is a huge part of my instruction, and it is very closely tied to my teaching philosophy/who I am.  Having AI write with you seems like a decent idea, but it sort of devalues just how important choices are in writing and your voice as a writer. Could you imagine if the greats just tag-teamed their novels with AI? How would their voice be consistent? How much of the plot/creative choices would be influenced by something regurgitating random things? How much do students come to rely on AI for help? Does this make them feel less comfortable asking a teacher for help? What happens when it hallucinates? Will the students believe the teacher over the AI? Eventually, will the teachers even know the AI is hallucinating or will they also become overreliant?",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",certainly positive use potential use socratic method rather spit answer concern character motivation something symbolizes act interpretation correct interpretation accurate talk lesson planning chore important part teacher imprint philosophy lesson planning huge part instruction closely tie teach philosophy write decent idea sort devalues important choice write voice writer could imagine great tag team novel would voice consistent plot creative choice would influence something regurgitate random student come rely help comfortable teacher help happens hallucinates student believe teacher eventually teacher hallucinate overreliant,0.6346474747474747,Positive
23,YouTube,@jonathaningram6011,https://www.youtube.com/watch?v=hJP5GqnTrNo,"This is really just a commercial for Khan Academy.  Most of what is presented will not improve education.  It will do just the opposite.  Let me take one example from the video.<br><br>In the video, Mr. Khan describes a student that had the AI talk to her in &quot;the voice&quot; of the Jay Gatsby and ask about the meaning of the green light he looks at in the distance.  The AI gives her an explanation, and it is a fine explanation.  However, the assumption is that education means getting the answer.  That is precisely wrong!<br><br>To be educated, the student needs to be able to make her own connections.  She didn&#39;t do this.  If the student read the book, the book says that the green light is at the end of Daisy&#39;s dock across the bay.  The student should be able to make the connection, not be told the connection.  Telling the connection does the thinking FOR the student rather than having the student think FOR herself.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",commercial khan academy present improve education opposite example khan describes student talk quot voice quot jay gatsby meaning green light distance explanation fine explanation assumption education answer precisely wrong educate student able connection student read book book green light end daisy dock across bay student able connection connection connection think student rather student think,0.13639848484848485,Positive
24,YouTube,@saraghaffari5088,https://www.youtube.com/watch?v=hJP5GqnTrNo,Horrifying. This is only impressive to people who don&#39;t actually know how to tutor or teach. These are not demonstrations of good tutoring. This is propaganda for a product. Wake up.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",horrify impressive tutor teach demonstration good tutor propaganda product wake,0.40326666666666666,Positive
25,YouTube,@DentedOut,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Those that promote AI positively are mistaken.  It is not intelligence, just a faster search engine.  Whoopty-doo!  AI now writes reports and essays for an entire generation of students that can no longer can read a book, internalize that knowledge by jotting down notes and then using those notes to create an original thought or thesis, that is to be written in their own words.  By this time-intensive struggle, knowledge becomes understanding within the self, something termed Somatic Knowledge. With ChatGPT, even the act of &quot;cut and paste&quot; statements is removed.  Merely enter a prompt, (I guess this is cut and pasted) and magically a paper for marking is produced.  Many educators I know, now complain this a problem.  Increasingly, knowledge for our students is Exosomatic, in that it is never comprehended, only retrieved.  This is not KNOWING.  In his speech at the Perimeter Institute, polymath Freeman Dyson claimed that in the year 2000 it became cheaper to store information than to understand it.  Thus the general public is made increasingly dumber, which is just how our current political leaders want it. <br>Early on, TED talks used to be good.  No longer.  Now it panders to promoters and influencers, who leverage their TED talk as social currency.  In the end, AI will undoubtedly give us easier acquisition to prono.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",promote positively mistaken intelligence faster search engine whoopty doo writes report essay entire generation student longer read book internalize knowledge jotting note use note create original thought thesis write word time intensive struggle knowledge becomes within self something term somatic knowledge chatgpt act quot cut paste quot statement remove merely enter prompt guess cut paste magically paper mark produce educator complain problem increasingly knowledge student exosomatic comprehend retrieve speech perimeter institute polymath freeman dyson claimed cheaper store information thus general public increasingly dumber current political leader early ted talk use good longer pander promoter influencers leverage ted talk social currency end undoubtedly easy acquisition prono,0.4453053613053613,Positive
26,YouTube,@zanegoofgodfrey3540,https://www.youtube.com/watch?v=hJP5GqnTrNo,"ai is going to combine with neurotechnology to create neurodevices that personalize learning, and replace teachers and the modern way of learning where our kids all have to wait for Tommy to stop mooning the teacher while cursing. Bad news for Tommy.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",combine neurotechnology create neurodevices personalize replace teacher modern kid wait tommy stop moon teacher curse bad news tommy,-0.5232,Negative
27,YouTube,@DrImran-sm3le,https://www.youtube.com/watch?v=hJP5GqnTrNo,Bangladesh region is not eligible for using Khanmigo😥,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",bangladesh region eligible use khanmigo,0.0,Neutral
28,YouTube,@Cycl0nefreddy,https://www.youtube.com/watch?v=hJP5GqnTrNo,"So far i havent used chatgpt to cheat really but to better understand concepts that havent clicked, recommendations, etc.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",far havent use chatgpt cheat concept havent clicked recommendation etc,0.22849999999999998,Positive
29,YouTube,@maksimsgat8407,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Unfortunately, utopia.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",unfortunately utopia,-0.42000000000000004,Negative
30,YouTube,@Shevock,https://www.youtube.com/watch?v=hJP5GqnTrNo,ChatGPT is going to destroy the world&#39;s fresh waters so that there are no children in the future. Not human ones anyway.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",chatgpt destroy world fresh water child future human anyway,-0.1355,Negative
31,YouTube,@AbhilashaThisisnotutopia-y5v,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Is it possible to replace teachers by AI entirely, and use them only as guides or standbys?",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",possible replace teacher entirely use guide standby,0.0,Neutral
32,YouTube,@pedroabarzua8480,https://www.youtube.com/watch?v=hJP5GqnTrNo,Dispense with Ideologized Teachers&#39; Unions More Concerned with Organizing Strikes than Delivering Quality Knowledge........ It Will Represent a Qualitative Leap to Improve the Education of Average Adolescents Whose Families Cannot Fund Quality Private Schools....,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",dispense ideologized teacher union concerned organize strike deliver quality knowledge represent qualitative leap improve education average adolescent whose family fund quality private school,0.1325,Positive
33,YouTube,@thenatureboy9687,https://www.youtube.com/watch?v=hJP5GqnTrNo,This AI is not available in a country like India😭,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",available country india,0.2,Positive
34,YouTube,@adenikeshobukola2116,https://www.youtube.com/watch?v=hJP5GqnTrNo,"This is so impressive, interesting and an exciting exposition....as an educator, I  have been so curious as to what is the gain or positive effects of AI to learners, however the very first point about helping ordinary learners to become exceptional students changed my perspective.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",impressive interest excite exposition educator curious gain positive effect learner point help ordinary learner exceptional student change perspective,0.6372439393939394,Positive
35,YouTube,@cillachan8519,https://www.youtube.com/watch?v=hJP5GqnTrNo,Thanks Sal Khan,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",sal khan,0.0,Neutral
36,YouTube,@EliuLoco,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Wow, just wow!",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",wow wow,0.46125,Positive
37,YouTube,@ClaudiAlexa,https://www.youtube.com/watch?v=hJP5GqnTrNo,"I wonder why the students are less and less &quot;intelligent&quot; ??  they have more access to content and platforms but  cannot deep dive in anything, lack of critical thinking",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",wonder student quot intelligent quot access content platform deep dive anything lack critical think,0.056783333333333325,Positive
38,YouTube,@thomasclark631,https://www.youtube.com/watch?v=hJP5GqnTrNo,Humanity measures time by reference to apocryphal events.  The rise and introduction of artificial intelligence is such an event.  The challenge to primary and secondary education is to acknowledge and address the evidence that demonstrates monopolistic entities are slow to innovate.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",humanity measure time reference apocryphal event rise introduction artificial intelligence event challenge primary secondary education acknowledge address evidence demonstrates monopolistic entity slow innovate,0.2825,Positive
39,YouTube,@FanaticalFuturist,https://www.youtube.com/watch?v=hJP5GqnTrNo,"We recently used AI to x12 the learning speed of our students, even SENS students and it was so so easy! This is a great talk, and we’re seeing the results NOW! Our experiment for everyone to see is on my YT channel",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",recently use x12 speed student sen student easy great talk result experiment,0.6008555555555556,Positive
40,YouTube,@GrindGrow-o6d,https://www.youtube.com/watch?v=hJP5GqnTrNo,"They are...and they do (in my STEM courses), BUT that comes down to us to create courses that teach them what AI can do, what it cannot do, and why they will stand out in a sea of people who only know how to use AI. It can make them stand out above the rest, if we can speed up their learning and comprehension. We need knowledge to think critically, this speeds up the knowledge. Now force people to use the information they know to solve problems.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",stem come create teach stand sea use stand rest speed comprehension knowledge think critically speed knowledge force use information solve problem,0.0258,Neutral
41,YouTube,@SilverArrowArcher,https://www.youtube.com/watch?v=hJP5GqnTrNo,This content is really well thought out,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",content thought,0.0,Neutral
42,YouTube,@BaoHoang-j4p,https://www.youtube.com/watch?v=hJP5GqnTrNo,"I think this is mid blowing for education. Having a virtual 1-1 education, cannot be misused to do answer, and tutoring you is mind blowing. <br><br><br>Also, just want to say, one of the chapters name is &quot;Conmigo&quot;, which should be &quot;Khanmigo&quot;.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",think mid blowing education virtual education misuse answer tutor mind blowing chapter name quot conmigo quot quot khanmigo quot,0.0,Neutral
43,YouTube,@devinparry7906,https://www.youtube.com/watch?v=hJP5GqnTrNo,I am concerned as an educator these tools are still being used to spoon feed the child answers. Using AI to get the exact answer for the green light is concerning. The goal isn&#39;t the answer but teaching children how to find the answer and then figure it out themselves. For the story writer it is literally doing half the work for the student. That is still cheating in my book. I think AI can have a place but we can&#39;t use it to just give students the answers.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",concerned educator tool use spoon feed child answer use exact answer green light concern goal answer teach child find answer story writer half work student cheat book think place use student answer,-0.19398333333333334,Negative
44,YouTube,@JayBenjamin9214,https://www.youtube.com/watch?v=hJP5GqnTrNo,This looks brilliant but I’m still not convinced that teacher jobs will be safe in the coming years. Why have qualified staff if the software will provide all of the answers?,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",brilliant convince teacher job safe come qualify staff software provide answer,0.76355,Positive
45,YouTube,@shev101,https://www.youtube.com/watch?v=hJP5GqnTrNo,khanmigo is an absolute mind <b>*</b>,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",khanmigo absolute mind,0.1,Positive
46,YouTube,@marquitosdb85,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Excellent. Future of Education is now. Hope these ideas can impact in a positive way, everywhere.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",excellent future education hope idea impact positive everywhere,0.6448954545454546,Positive
47,YouTube,@SilkyTube,https://www.youtube.com/watch?v=hJP5GqnTrNo,Finally i get to see the face of the perosn narrating all those videos,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",finally face perosn narrate,0.0,Neutral
48,YouTube,@Epistemophilos,https://www.youtube.com/watch?v=hJP5GqnTrNo,"Fantastic. Although the example with political debating is tricky, as most LLMs are highly biased when it comes to politics.",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",fantastic example political debate tricky llm highly bias come politics,0.2531833333333333,Positive
49,YouTube,@marfmarfalot5193,https://www.youtube.com/watch?v=hJP5GqnTrNo,Very very nice,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",nice,0.51075,Positive
50,YouTube,@promags9843,https://www.youtube.com/watch?v=hJP5GqnTrNo,"chatgpt sometimes make a mistake when it comes to do some matrix operation,and sometimes you should to customize with prompt to make more simple explanation",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",chatgpt sometimes mistake come matrix operation sometimes customize prompt simple explanation,-0.17,Negative
51,YouTube,@tituswillb,https://www.youtube.com/watch?v=hJP5GqnTrNo,wait... so this was just an ad in the form of an educational chat?,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",wait form educational chat,0.125,Positive
52,YouTube,@Danbi20,https://www.youtube.com/watch?v=hJP5GqnTrNo,So AI is giving teachers something they&#39;ve needed more of for ages that seemed impossible to get ....TIME,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",teacher something age impossible time,-0.3333333333333333,Negative
53,YouTube,@teachersayswhat,https://www.youtube.com/watch?v=hJP5GqnTrNo,What an interesting and timely discussion.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",interest timely discussion,0.2294,Positive
54,YouTube,@kylewelker6911,https://www.youtube.com/watch?v=hJP5GqnTrNo,I jumped up and screamed “IT’S THE KHAN ACADEMY GUY!!”,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",jumped scream khan academy,-0.20095,Negative
55,YouTube,@stepbro1992,https://www.youtube.com/watch?v=hJP5GqnTrNo,Having a personal tutor give you all the answers ones prompted is a ticket to making you dumb and needy. The essence of carefully curating your answer so that you both don’t ask too much and don’t annoy a tutor has its benefits…you understand other nuances that force your brain to think thoroughly… this will be lost...,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",personal tutor answer prompt ticket dumb needy essence carefully curating answer annoy tutor benefit nuance force brain think thoroughly lose,-0.4771666666666667,Negative
56,YouTube,@stepbro1992,https://www.youtube.com/watch?v=hJP5GqnTrNo,If all children get the same 1 on 1 tutoring your back at the bell shaped curve.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",child tutor back bell shape curve,0.0,Neutral
57,YouTube,@amandagifford5469,https://www.youtube.com/watch?v=hJP5GqnTrNo,Is there a way to license this software?,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",license software,0.0,Neutral
58,YouTube,@koliux1,https://www.youtube.com/watch?v=hJP5GqnTrNo,"This was a truly insightful video, Sal! Embracing AI in education, when done right, can be incredibly beneficial. It&#39;s interesting to see how AI can guide and enhance teaching methods. Speaking of AI, my app &quot;Baited&quot; offers AI-based interview coaching and it could be a great tool for students preparing for job interviews in this digital age. Keep up the great work!",,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",truly insightful sal embrace education incredibly beneficial interest guide enhance teach method speak app quot bait quot offer base interview coach could great tool student prepare job interview digital age great work,0.6516,Positive
59,YouTube,@harleymandk,https://www.youtube.com/watch?v=hJP5GqnTrNo,stil just text...,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",stil text,0.0,Neutral
60,YouTube,@gregnixon1296,https://www.youtube.com/watch?v=hJP5GqnTrNo,The possibilities described here are not what happens when students use AI to complete their work. Students use AI to cheat.,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",possibility described happens student use complete work student use cheat,-0.1794,Negative
61,YouTube,@UiFd-k8y,https://www.youtube.com/watch?v=hJP5GqnTrNo,Please not make AI robot in &quot;hard form&quot; use AI robot in &quot;soft form&quot; . 😊,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",please robot quot hard form quot use robot quot soft form quot,0.06523333333333334,Positive
62,YouTube,@Newdaynewlife-l2q,https://www.youtube.com/watch?v=hJP5GqnTrNo,👉👈🫂🦾🙏🤜🤛✌️🤟,,,,"Video: How AI Could Save (Not Destroy) Education | Sal Khan | TED, Channel: TED",,0.0,Neutral
